ID,Fato Histórico,Verdadeiro?,Curiosidade
1420,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1421,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1422,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1423,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1424,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1425,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1426,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1427,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1428,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1429,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1430,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1431,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1432,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1433,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1434,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1435,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1436,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1437,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1438,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1439,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1440,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1441,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1442,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1443,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1444,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1445,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1446,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1447,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1448,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1449,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1450,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1451,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1452,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1453,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1454,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1455,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1456,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1457,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1458,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1459,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1460,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1461,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1462,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1463,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1464,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1465,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1466,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1467,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1468,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1469,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1470,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1471,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1472,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1473,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1474,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1475,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1476,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1477,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1478,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1479,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1480,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1481,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1482,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1483,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1484,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1485,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1486,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1487,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1488,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1489,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1490,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1491,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1492,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1493,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1494,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1495,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1496,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1497,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1498,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1499,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1500,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1501,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1502,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1503,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1504,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1505,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1506,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1507,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1508,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1509,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1510,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1511,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1512,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1513,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1514,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1515,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1516,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1517,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1518,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1519,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1520,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1521,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1522,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1523,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1524,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1525,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1526,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1527,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1528,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1529,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1530,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1531,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1532,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1533,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1534,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1535,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1536,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1537,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1538,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1539,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1540,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1541,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1542,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1543,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1544,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1545,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1546,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1547,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1548,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1549,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1550,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1551,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1552,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1553,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1554,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1555,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1556,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1557,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1558,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1559,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1560,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1561,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1562,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1563,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1564,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1565,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1566,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1567,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1568,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1569,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1570,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1571,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1572,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1573,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1574,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1575,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1576,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1577,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1578,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1579,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1580,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1581,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1582,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1583,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1584,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1585,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1586,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1587,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1588,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1589,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1590,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1591,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1592,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1593,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1594,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1595,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1596,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1597,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1598,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1599,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1600,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1601,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1602,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1603,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1604,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1605,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1606,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1607,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1608,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1609,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1610,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1611,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1612,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1613,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1614,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1615,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1616,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1617,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1618,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1619,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1620,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1621,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1622,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1623,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1624,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1625,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1626,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1627,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1628,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1629,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1630,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1631,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1632,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1633,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1634,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1635,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1636,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1637,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1638,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1639,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1640,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1641,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1642,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1643,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1644,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1645,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1646,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1647,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1648,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1649,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1650,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1651,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1652,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1653,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1654,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1655,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1656,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1657,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1658,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1659,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1660,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1661,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1662,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1663,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1664,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1665,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1666,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1667,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1668,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1669,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1670,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1671,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1672,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1673,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1674,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1675,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1676,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1677,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1678,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1679,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1680,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1681,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1682,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1683,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1684,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1685,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1686,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1687,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1688,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1689,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1690,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1691,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1692,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1693,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1694,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1695,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1696,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1697,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1698,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1699,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1700,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1701,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1702,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1703,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1704,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1705,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1706,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1707,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1708,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1709,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1710,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1711,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1712,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
